category_no,category_name,2025-08-26T11:00:00Z,2025-08-26T12:00:00Z
00040216,엘든 링: 황금 나무의 그림자,0,
00040219,카운터 스트라이크 온라인,0,
00040220,스톰게이트,0,2
00040221,WWE 2K24,0,
00040222,Once Human,93,123
00040223,퍼스트 디센던트,0,2
00040224,유로 트럭 시뮬레이터 2,4,4
00040225,검은 신화: 오공,0,21
00040226,호연,0,
00040227,인조이,0,
00040228,스타워즈: 아웃로,0,
00040229,크라임 씬 클리너,0,
00040230,슈퍼바이브,0,
00040231,마법소녀 즈큥도큥,0,
00040232,역전검사,0,
00040233,EA Sports FC 25,10,20
00040234,프로스트펑크 2,0,
00040235,젤다의 전설 지혜의 투영,0,
00040236,사일런트 힐 2,0,
00040237,PUBG: 블라인드스팟,0,
00040238,몬스터 헌터 와일즈,3,7
00040239,제로 시버트,0,
00040240,슈퍼 마리오 파티 잼버리,0,
00040242,주,0,
00040243,쁘띠 아일랜드,0,
00040244,스토커 2: 초르노빌의 심장부,0,
00040245,WJMAX,0,
00040246,락다운 프로토콜,0,
00040247,DEADLOCK,0,
00040248,인디아나 존스: 그레이트 서클,0,
00040249,패스 오브 엑자일 2,0,
00040250,델타포스,2,5
00040251,코난 엑자일,0,
00040252,겟 투 워크,5,5
00040253,마블 라이벌즈,0,
00040254,진 삼국무쌍: ORIGINS,0,
00040255,림버스 컴퍼니,0,
00040256,파워워시 시뮬레이터,0,
00040257,괴담도시,0,
00040258,메이크 굿 초이스,0,
00040259,미사이드,0,
00040260,포켓로그,0,
00040261,스트리머 라이프 시뮬레이터2,0,
00040262,시드 마이어의 문명 VII,0,
00040263,시드 마이어의 문명 V,0,
00040264,시드 마이어의 문명 VI,0,
00040265,킹덤 컴: 딜리버런스 II,0,0
00040266,헬로 키티 아일랜드 어드벤처,0,0
00040267,RF 온라인 넥스트,0,0
00040268,마운트 앤 블레이드 2: 배너로드,0,0
00040269,퍼스트 버서커: 카잔,1,2
00040270,체인드 투게더,0,0
00040271,코어 키퍼,0,0
00040272,도시전설 해체센터,0,0
00040273,트릭샷 시뮬레이터,0,0
00040274,몬스터 헌터 라이즈: 선브레이크,0,0
00040275,파이널 판타지 7 리메이크,0,0
00040276,파이널 판타지 7 리버스,0,0
00040277,파이널 판타지 15,0,0
00040278,파이널 판타지 16,0,0
00040279,파이널 판타지 14,0,0
00040280,WWE 2K25,0,0
00040281,드래곤볼 더 브레이커즈,0,0
00040282,용과 같이8 외전 Pirates in Hawaii,0,0
00040283,유니콘 오버로드,0,2
00040284,스플릿 픽션,0,0
00040285,젤다의 전설 Breath of the Wild,0,0
00040286,젤다의 전설 Tears of the Kingdom,0,0
00040287,프래그펑크,0,0
00040288,어둠의전설,0,5
00040289,아크시스템웍스,0,0
00040290,투 포인트 뮤지엄,0,0
00040291,플래닛 주,0,0
00040292,어쌔신 크리드 섀도우스,0,0
00040293,MLB 더쇼 25,0,0
00040294,닌자 가이덴 2 블랙,0,0
00040295,인왕 2 더 컴플리트 에디션,0,0
00040296,그란 투리스모7,0,0
00040297,R.E.P.O.,3,3
00040298,BLEACH 리버스 오브 소울즈,0,0
00040299,귀귀살전,0,0
00040300,더 헌터: 야생의 부름,0,0
00040301,배틀 에이스,0,0
00040302,인투 더 데드: 아워 다키스트 데이즈,0,0
00040303,세피리아,0,0
00040304,클레르 옵스퀴르: 33 원정대,0,0
00040305,둠: 더 다크 에이지스,0,0
00040306,월드 오브 워쉽,0,0
00040307,당직근무,0,0
00040308,젓가락질 개론,0,0
00040309,테라리아,0,0
00040310,엘든 링 밤의 통치자,27,28
00040311,마리오 카트 월드,0,0
00040312,빈딕투스: 디파잉 페이트,0,0
00040313,데스 스트랜딩 2,0,0
00040314,구스 구스 덕,0,0
00040315,백팩 배틀즈,0,0
00040316,메카 브레이크,0,2
00040317,브로큰 애로우,0,0
00040318,듄: 어웨이크닝,0,0
00040319,섀도우버스 월즈 비욘드,0,0
00040320,프린세스 메이커,0,0
00040321,프린세스 메이커 2 리제네레이션,0,0
00040322,프린세스 메이커: 예언의 아이들,0,0
00040323,판타지 라이프 i 빙글빙글 용과 시간을 훔치는 소녀,0,0
00040324,피크,19,120
00040325,V 라이징,0,0
00040326,톰 클랜시의 더 디비전 2,0,0
00040327,톰 클랜시의 레인보우 식스 시즈 X,0,0
00040328,드래곤 퀘스트 XI: 지나간 시간을 찾아서,0,0
00040329,드래곤 퀘스트 빌더즈 2: 파괴신 시도와 텅 빈 섬,0,0
00040330,동키콩 바난자,0,0
00040331,명말: 공허의 깃털,0,0
00040332,레이싱 마스터,3,0
00040333,마피아: 올드 컨트리,0,0
00040334,낙원: LAST PARADISE,0,0
00040335,데이브 더 다이버,0,0
00040336,DNF Duel,0,0
00040337,마비노기 영웅전,0,0
00040338,테일즈위버,0,0
00060001,KBL,0,0
00060002,WKBL,0,0
00100000,국내프로배구,0,0
00130000,토크/캠방,39784,37696
00140001,두산,531,501
00140002,한화,1545,1109
00140003,롯데,124,0
00140004,키움,13,4
00140005,삼성,1381,1688
00140006,KIA,1274,1988
00140007,LG,583,569
00140008,SSG,67,70
00140009,중립,0,0
00140010,NC,0,0
00140011,kt,0,0
00170000,국내프로축구,0,1
00180000,해외프로야구,316,219
00190000,격투기,4,0
00270001,국내주식,0,0
00270002,국내선물,0,0
00270003,해외주식,0,0
00270004,해외선물,1,0
00270005,부동산,3,0
00270006,암호화폐,429,797
00270007,기타 금융,3,1
00270008,주식,8,85
00270009,파생,2,2
00290001,자습,25,32
00290002,지식,103,80
00290005,시사,1,1
00290006,종교,13,9
00290007,경제,1,62
00330000,먹방/쿡방,929,1421
00350002,명탐정 코난,49,114
00350004,기타 애니,0,0
00350018,검정고무신,14,31
00350025,원피스,13,11
00350041,나의 히어로 아카데미아,3,0
00350053,귀멸의 칼날,2,30
00360003,모바일 종합게임,76,93
00360012,모두의마블,0,0
00360018,클래시로얄,0,0
00360020,포켓몬 GO,0,0
00360021,리니지2:레볼루션,0,1
00360022,리니지M,30,50
00360028,라그나로크M,0,0
00360030,검은사막M,4,4
00360031,배틀그라운드 모바일,0,10
00360033,에픽세븐,0,0
00360034,오크,0,0
00360035,십이지천M,0,0
00360037,라이프애프터,0,0
00360038,페이트/그랜드 오더,0,0
00360040,프린세스 커넥트 리:다이브,0,0
00360041,다크에덴M,0,0
00360043,블레이드 & 소울 레볼루션,0,0
00360044,클래시 오브 클랜,0,0
00360046,V4,0,0
00360048,에오스 레드,0,0
00360049,엑소스히어로즈,0,0
00360050,리니지2M,0,0
00360052,A3: 스틸얼라이브,0,0
00360054,바람의나라: 연,0,0
00360055,카트라이더 러쉬플러스,0,0
00360056,리그 오브 레전드: 와일드 리프트,0,0
00360057,미르4,0,0
00360058,대항해시대 오리진,0,0
00360059,그랑사가,0,0
00360060,세븐나이츠2,0,1
00360062,쿠키런,0,0
00360063,원신,4,6
00360066,DK모바일,0,0
00360067,디아블로 이모탈,0,0
00360068,제2의 나라,0,0
00360069,오딘: 발할라 라이징,5,3
00360070,블레이드 & 소울 2,0,0
00360072,컴투스프로야구2023,0,0
00360073,리니지W,0,0
00360074,포켓몬 유나이트,0,0
00360075,언디셈버,0,0
00360076,트라하 인피니티,0,0
00360077,던전앤파이터 모바일,4,2
00360078,넷마블 프로야구 2022,0,0
00360079,미르M,0,0
00360080,우마무스메 프리티 더비,0,0
00360081,세븐나이츠 레볼루션,0,0
00360082,히트2,0,0
00360083,미틱 히어로즈,0,0
00360084,문명: Reign of Power,0,0
00360085,라그나로크X,0,0
00360086,디스라이트,0,0
00360087,AFK아레나,0,0
00360088,나이트 크로우,0,0
00360089,아레스: 라이즈 오브 가디언즈,0,0
00360090,디펜스 더비,0,0
00360091,진·삼국무쌍 M,0,0
00360092,승리의 여신: 니케,5,0
00360093,블루 아카이브,0,0
00360094,붕괴: 스타레일,0,0
00360095,나 혼자만 레벨업:ARISE,0,0
00360096,롬: 리멤버 오브 마제스티,0,0
00360097,아스달 연대기: 세 개의 세력,0,0
00360098,서머너즈 워: 천공의 아레나,23,23
00360099,레이븐2,0,0
00360100,명조: 워더링 웨이브,10,13
00360101,로드나인,0,0
00360102,젠레스 존 제로,0,0
00360103,콜 오브 듀티: 모바일,0,0
00360104,에이지 오브 엠파이어 모바일,0,0
00360105,포켓몬 카드 게임 Pocket,0,0
00360106,지천,0,0
00360107,명일방주,0,0
00360108,발할라 서바이벌,0,0
00360109,레이튼 교수와 이상한 마을 HD,0,0
00360110,레이튼 교수와 악마의 상자 HD,0,0
00360111,레전드 오브 이미르,0,0
00360113,마비노기 모바일,246,327
00360114,컴투스프로야구V25,0,0
00360115,쿠키런: 오븐스매시,0,0
00360116,작혼: 리치 마작,0,0
00360117,세븐나이츠 리버스,5,26
00360118,제5인격,0,0
00360119,EA SPORTS FC 모바일,0,0
00360120,메이플스토리M,0,0
00360121,뱀피르,862,335
00370010,챔피언스리그,0,0
00370011,프리미어리그,34,0
00390003,JTBC,19,16
00390004,MBN,6,13
00390006,TV CHOSUN,6,228
00390013,연합뉴스,26,34
00390024,YTN LIVE,384,100
00410000,전국체전,0,0
00570002,당구,10,12
00570003,피트니스,20,938
00570004,토크/분석,90,609
00570005,기타 스포츠,14,0
00570006,볼링,0,0
00570007,골프,1,1
00570013,마인드 스포츠,15213,3573
00570014,럭비,0,0
00570015,라크로스,0,0
00570016,스쿼시,0,0
00570017,배드민턴,0,0
00580000,펫방,61,92
00590000,더빙/라디오,489,586
00670000,낚시,381,289
00720000,LCK,1935,2269
00740000,여행,2592,3126
00800000,WWE,49,70
00810000,버추얼,11199,16568
00840001,아마 야구,24,0
00840002,아마 축구,0,0
00840003,아마 배구,0,0
00840004,아마 농구,0,0
00880000,SOOPER LEAGUE,2,3
00940008,전설의 고향,113,62
00940009,시그널,292,3487
00960016,연가시,15,52
00970000,장애인스포츠,0,0
00980000,모터스포츠,0,0
